project,bug_ID,priority,type(person1),type(person2),type(final decision),PR,Explanation
Lucene,LUCENE-993,Major,T2.3.1,T2.3.1,T2.3.1,,"Hard to reproduce in Java, since SnowballAnalyzer is deprecated in 9.0+ verison."
Lucene.Net,LUCENENET#964,Major,T1.2.2,T1.2.2,T1.2.2,,No fix for C# and Java
Lucene.Net,LUCENENET#947,Major,T1.1.1,T1.1.1,T1.1.1,https://github.com/tohidemyname/lucenenet/commit/262f4e2849f58e57130cce0e2200cfdb3efb393b,With Lucene bug report: lucene#12626
Lucene.Net,LUCENENET#943,Major,T1.1.1,T1.1.1,T1.1.1,https://github.com/tohidemyname/lucenenet/commit/d44ff501fe054e3d38d5bd422d0ba904ed5c9770,With Lucene bug report: https://issues.apache.org/jira/browse/LUCENE-7708
Lucene.Net,LUCENENET#941,Major,T1.1.1,T1.1.1,T1.1.1,,https://issues.apache.org/jira/browse/LUCENE-9365
Lucene.Net,LUCENENET#929,Major,T2.2.2,T2.2.2,T2.2.2,https://github.com/apache/lucenenet/commit/0cf7218e784715243d559526d7390681e3c63cbf,.NET version bug
Lucene.Net,LUCENENET#894,Major,T2.2.2,T2.2.2,T2.2.2,https://github.com/apache/lucenenet/pull/786/files,.NET sync bug
Lucene.Net,LUCENENET#827,Major,T2.2.3,T2.2.3,T2.2.3,,NUnit test frame work
Lucene.Net,LUCENENET#739,Major,T2.2.3,T2.2.3,T2.2.3,https://github.com/apache/lucenenet/pull/897,NUnit test frame work
Lucene.Net,LUCENENET#682,Major,T2.2.3,T2.2.3,T2.2.3,https://sonarcloud.io/project/issues?rules=csharpsquid%3AS3928&issueStatuses=OPEN%2CCONFIRMED&id=apache_lucenenet,sonarcloud bug third lib
Lucene.Net,LUCENENET#408,Major,T2.2.2,T2.2.2,T2.2.2,https://github.com/apache/lucenenet/pull/847,,
Lucene.Net,LUCENENET#271,Major,T1.1.2,T1.1.2,T1.1.2,,,
JTS,JTS#1063,-,T2.2.2,T2.2.2,T2.2.2,,Java uses Hashset leading to a non-determinstic behaviour
JTS,JTS#1051,-,T1.2.2,T1.2.2,T1.2.2,,,
JTS,JTS#948,-,T1.2.2,T1.2.2,T1.2.2,,,
JTS,JTS#907,-,T1.1.2,T1.1.2,T1.1.2,https://github.com/locationtech/jts/pull/977/files,Fix IN C# without bug report
JTS,JTS#876,-,T1.1.2,T1.1.2,T1.1.2,https://github.com/locationtech/jts/pull/878/files,Fix IN C# without bug report
JTS,JTS#874,-,T2.2.3,T2.2.3,T2.2.3,https://github.com/qupath/qupath/pull/1520/files,QuPath lib fix this bug
JTS,JTS#784,-,T1.2.2,T1.2.2,T1.2.2,,,
JTS,JTS#774,-,T1.2.2,T1.2.2,T1.2.2,https://github.com/NetTopologySuite/NetTopologySuite/issues/719,The developers report in both repos
JTS,JTS#763,-,T2.1.3,T2.1.3,T2.1.3,https://github.com/locationtech/jts/pull/796,"No module ""GeoJSON "" in C#"
JTS,JTS#585,-,T1.2.2,T1.2.2,T1.2.2,,The users report both bug in both repo
JTS,JTS#434,-,T1.2.2,T1.2.2,T1.2.2,,The users report both bug in both repo
