project	bug_ID	priority	type	bug_URL	shared	created_time	patch_URL			
Lucene.Net	LUCENENET#416	critical(high)	T2.2.2	https://github.com/apache/lucenenet/issues/416	no	2021/2/9	https://github.com/apache/lucenenet/pull/449/files			
Lucene.Net	LUCENENET#394	critical(high)	T2.3.2	https://github.com/apache/lucenenet/issues/394	no	2020/12/24	https://github.com/apache/lucenenet/pull/467/files			
Lucene.Net	LUCENENET#380	critical(high)	T2.3.2	https://github.com/apache/lucenenet/issues/380	no	2020/10/24	https://github.com/apache/lucenenet/pull/391/files			
Lucene.Net	LUCENENET#356	critical(high)	T2.2.1	https://github.com/apache/lucenenet/issues/356	yes	2020/9/27	https://github.com/apache/lucenenet/pull/357/files			
Lucene.Net	LUCENENET#621	major(normal)	T2.2.2	https://github.com/apache/lucenenet/issues/621	no	2022/2/21	https://github.com/apache/lucenenet/pull/622/files			
Lucene.Net	LUCENENET#559	major(normal)	T1/P.1	https://github.com/apache/lucenenet/issues/559	yes	2021/11/23	https://github.com/apache/lucenenet/pull/563/files			
Lucene.Net	LUCENENET#549	major(normal)	T2.3.1	https://github.com/apache/lucenenet/issues/549	yes	2021/11/20	https://github.com/apache/lucenenet/pull/566/files			
Lucene.Net	LUCENENET#546	major(normal)	T2.2.1	https://github.com/apache/lucenenet/issues/546	yes	2021/11/19	https://github.com/apache/lucenenet/pull/557/files			
Lucene.Net	LUCENENET#418	major(normal)	T1/P.1	https://github.com/apache/lucenenet/issues/418	yes	2021/2/11	https://github.com/apache/lucenenet/pull/434/files			
Lucene.Net	LUCENENET-641	major	T2.3.1	https://issues.apache.org/jira/browse/LUCENENET-641	yes	2020/1/29	https://github.com/apache/lucenenet/pull/237/files			
Lucene.Net	LUCENENET-640	major	T2.2.1	https://issues.apache.org/jira/browse/LUCENENET-640	yes	2020/1/13	https://github.com/apache/lucenenet/commit/7fd3de71d60a50059b6a8276bccb8d35fd6a1c83			
Lucene.Net	LUCENENET-624	major	T2.3.1	https://issues.apache.org/jira/browse/LUCENENET-624	yes	2019/10/10	https://github.com/apache/lucenenet/pull/299/files			
Lucene.Net	LUCENENET-622	major	T2.2.2	https://issues.apache.org/jira/browse/LUCENENET-622	no	2019/9/3	https://github.com/apache/lucenenet/commit/b3daddc739f9329d0aa6e8dbfe04744f93106837			
Lucene.Net	LUCENENET-621	major	T2.3.1	https://issues.apache.org/jira/browse/LUCENENET-621	yes	2019/9/3	https://github.com/apache/lucenenet/commit/e715ea1b1d7fc4ee64190b25e8fdf97aeb3c0d63			
Lucene.Net	LUCENENET-617	major	T2.2.1	https://issues.apache.org/jira/browse/LUCENENET-617	yes	2019/8/15	https://github.com/apache/lucenenet/commit/de715223d989d4a5ad9bbd066c64dd4093e20d72			
Lucene.Net	LUCENENET-607	major	T2.4.2	https://issues.apache.org/jira/browse/LUCENENET-607	yes	2019/3/4	https://github.com/apache/lucenenet/pull/224/files			
Lucene.Net	LUCENENET-598	major	T1/P.1	https://issues.apache.org/jira/browse/LUCENENET-598	yes	2018/1/2	https://github.com/apache/lucenenet/commit/3b86123ce31d305b635e41c499e4ad53d4d25438			
Lucene.Net	LUCENENET-593	major	T2.3.1	https://issues.apache.org/jira/browse/LUCENENET-593	yes	2017/8/10	https://github.com/apache/lucenenet/commit/c14c27e7696cf88d628dae83b5190d8c87e9fac8			
Lucene.Net	LUCENENET-592	major	T2.1.2	https://issues.apache.org/jira/browse/LUCENENET-592	yes	2017/8/8	https://github.com/apache/lucenenet/commit/9084a2018ae62594820a47261ccf1bd07e580dc4			
Hibernate	HHH-15032	blocker	T2.2.2	https://hibernate.atlassian.net/browse/HHH-15032	no	2022/1/17	https://github.com/hibernate/hibernate-orm/pull/4655/files			
Hibernate	HHH-14413	blocker	T2.1.3	https://hibernate.atlassian.net/browse/HHH-14413	yes	2021/1/19	https://github.com/hibernate/hibernate-orm/pull/3699/files			
Hibernate	HHH-14077	blocker	T2.2.2	https://hibernate.atlassian.net/browse/HHH-14077	no	2020/6/18	https://github.com/hibernate/hibernate-orm/pull/3440/files			
Hibernate	HHH-13945	blocker	T2.2.1	https://hibernate.atlassian.net/browse/HHH-13945	yes	2020/4/14	https://github.com/hibernate/hibernate-orm/pull/3647/files			
Hibernate	HHH-13770	blocker	T2.2.1	https://hibernate.atlassian.net/browse/HHH-13770	yes	2019/12/10	https://github.com/hibernate/hibernate-orm/pull/3171/files			
Hibernate	HHH-13710	blocker	T2.2.1	https://hibernate.atlassian.net/browse/HHH-13710	yes	2019/11/6	https://github.com/hibernate/hibernate-orm/pull/3096/files			
Hibernate	HHH-13653	blocker	T2.2.2	https://hibernate.atlassian.net/browse/HHH-13653	no	2019/10/3	https://github.com/hibernate/hibernate-orm/commit/3c1f4356dd3a6e6d88ee4a9442119f262b6dfb97			
Hibernate	HHH-13651	blocker	T2.2.2	https://hibernate.atlassian.net/browse/HHH-13651	no	2019/10/3	https://github.com/hibernate/hibernate-orm/pull/3079/files			
Hibernate	HHH-13644	blocker	T2.2.2	https://hibernate.atlassian.net/browse/HHH-13644	no	2019/9/27	https://github.com/hibernate/hibernate-orm/commit/8ce140475496d7b58df9c9fd82f1aafc288f73f4			
Hibernate	HHH-12784	blocker	T2.2.2	https://hibernate.atlassian.net/browse/HHH-12784	no	2018/7/10	https://github.com/hibernate/hibernate-orm/commit/d32997a32da780907bc30efb1e23b0f1b87174e4			
Hibernate	HHH-12776	blocker	T2.2.2	https://hibernate.atlassian.net/browse/HHH-12776	no	2018/7/8	https://github.com/hibernate/hibernate-orm/pull/2397/files			
Hibernate	HHH-12649	blocker	T2.2.2	https://hibernate.atlassian.net/browse/HHH-12649	no	2018/5/30	https://github.com/hibernate/hibernate-orm/pull/2391/files			
Hibernate	HHH-12607	blocker	T2.1.1	https://hibernate.atlassian.net/browse/HHH-12607	yes	2018/5/21	https://github.com/hibernate/hibernate-orm/pull/2329/files	https://github.com/hibernate/hibernate-orm/commit/00a56a188b599ca0e243bbb0b141ccfca06e6e52		
Hibernate	HHH-12266	blocker	T2.3.2	https://hibernate.atlassian.net/browse/HHH-12266	no	2018/1/31	https://github.com/hibernate/hibernate-orm/pull/2141/files			
Hibernate	HHH-11826	blocker	T2.2.2	https://hibernate.atlassian.net/browse/HHH-11826	no	2017/6/20	https://github.com/hibernate/hibernate-orm/commit/4477baf53bb8592800115e0ce1d1c4cd48434338			
Hibernate	HHH-11655	blocker	T2.2.1	https://hibernate.atlassian.net/browse/HHH-11655	yes	2017/4/21	https://github.com/hibernate/hibernate-orm/commit/0ddc7d32ad9c2af1a00e9e4b1f35b423d2bc65aa			
Hibernate	HHH-11587	blocker	T2.1.1	https://hibernate.atlassian.net/browse/HHH-11587	yes	2017/3/22	https://github.com/hibernate/hibernate-orm/pull/1879/files			
Hibernate	HHH-11560	blocker	T2.2.1	https://hibernate.atlassian.net/browse/HHH-11560	yes	2017/3/8	https://github.com/hibernate/hibernate-orm/commit/6674cddf3d68928344017e040526351aa3ebed76			
Hibernate	HHH-15267	critical	T2.2.1	https://hibernate.atlassian.net/browse/HHH-15267	yes	2022/5/12	https://github.com/hibernate/hibernate-orm/pull/5050/files			
Hibernate	HHH-15164	critical	T2.3.2	https://hibernate.atlassian.net/browse/HHH-15164	no	2022/4/3	https://github.com/hibernate/hibernate-orm/pull/4935/files			
Hibernate	HHH-15117	critical	T2.1.1	https://hibernate.atlassian.net/browse/HHH-15117	yes	2022/3/12	https://github.com/hibernate/hibernate-orm/pull/4871/files			
Hibernate	HHH-14948	critical	T2.2.2	https://hibernate.atlassian.net/browse/HHH-14948	no	2021/12/2	https://github.com/hibernate/hibernate-orm/pull/4411/files			
Hibernate	HHH-14937	critical	T2.2.1	https://hibernate.atlassian.net/browse/HHH-14937	yes	2021/11/23	https://github.com/hibernate/hibernate-orm/pull/4378/files			
Hibernate	HHH-14935	critical	T2.4.1	https://hibernate.atlassian.net/browse/HHH-14935	yes	2021/11/19	https://github.com/hibernate/hibernate-orm/pull/4412/files			
Hibernate	HHH-14876	critical	T2.2.2	https://hibernate.atlassian.net/browse/HHH-14876	yes	2021/10/12	https://github.com/hibernate/hibernate-orm/pull/4310/files			
Hibernate	HHH-14875	critical	T2.2.2	https://hibernate.atlassian.net/browse/HHH-14875	no	2021/10/12	https://github.com/hibernate/hibernate-orm/pull/4308/files			
Hibernate	HHH-14874	critical	T2.2.1	https://hibernate.atlassian.net/browse/HHH-14874	yes	2021/10/12	https://github.com/hibernate/hibernate-orm/pull/4295/files			
Hibernate	HHH-14655	critical	T2.2.2	https://hibernate.atlassian.net/browse/HHH-14655	no	2021/6/5	https://github.com/hibernate/hibernate-orm/pull/4034/files			
Hibernate	HHH-14523	critical	T2.2.2	https://hibernate.atlassian.net/browse/HHH-14523	no	2021/3/23	https://github.com/hibernate/hibernate-orm/commit/e76241a3091078713dd4b57de085f5fadce5e0db			
Hibernate	HHH-14380	critical	T2.2.1	https://hibernate.atlassian.net/browse/HHH-14380	yes	2020/12/18	https://github.com/hibernate/hibernate-orm/pull/3680/files			
Hibernate	HHH-14343	critical	T2.2.2	https://hibernate.atlassian.net/browse/HHH-14343	no	2020/11/20	https://github.com/hibernate/hibernate-orm/pull/3658/files			
Hibernate	HHH-14276	critical	T2.2.2	https://hibernate.atlassian.net/browse/HHH-14276	no	2020/10/21	https://github.com/hibernate/hibernate-orm/pull/3641/files			
Hibernate	HHH-13959	critical	T2.2.2	https://hibernate.atlassian.net/browse/HHH-13959	no	2020/4/19	https://github.com/hibernate/hibernate-orm/pull/3358/files			
Hibernate	HHH-13944	critical	T2.2.1	https://hibernate.atlassian.net/browse/HHH-13944	yes	2020/4/11	https://github.com/hibernate/hibernate-orm/pull/3684/files			
Hibernate	HHH-13859	critical	T2.2.2	https://hibernate.atlassian.net/browse/HHH-13859	no	2020/2/10	https://github.com/hibernate/hibernate-orm/commit/d3fdb657d699e29e9e6980df5d9e1051fd957298			
Hibernate	HHH-13760	critical	T2.1.1	https://hibernate.atlassian.net/browse/HHH-13760	yes	2019/12/2	https://github.com/hibernate/hibernate-orm/pull/3170/files			
Hibernate	HHH-13655	critical	T2.2.1	https://hibernate.atlassian.net/browse/HHH-13655	yes	2019/10/5	https://github.com/hibernate/hibernate-orm/commit/d95c16e9ab1b3d3b718adb4eb0fa0ede62b9cd95			
Hibernate	HHH-13590	critical	T2.2.1	https://hibernate.atlassian.net/browse/HHH-13590	yes	2019/8/18	https://github.com/hibernate/hibernate-orm/pull/3007/files			
Hibernate	HHH-13456	critical	T1/P.1	https://hibernate.atlassian.net/browse/HHH-13456	yes	2019/6/25	https://github.com/hibernate/hibernate-orm/pull/3120/files			
Hibernate	HHH-13164	critical	T2.2.1	https://hibernate.atlassian.net/browse/HHH-13164	yes	2018/12/14	https://github.com/hibernate/hibernate-orm/pull/2727/files			
Hibernate	HHH-13147	critical	T2.2.1	https://hibernate.atlassian.net/browse/HHH-13147	yes	2018/12/7	https://github.com/hibernate/hibernate-orm/pull/2682/files			
Hibernate	HHH-13059	critical	T2.2.2	https://hibernate.atlassian.net/browse/HHH-13059	no	2018/10/23	https://github.com/hibernate/hibernate-orm/pull/2747/files			
Hibernate	HHH-12913	critical	T2.1.1	https://hibernate.atlassian.net/browse/HHH-12913	yes	2018/8/15	https://github.com/hibernate/hibernate-orm/commit/b00f580d8daa3bffbcff854dc815887756de9664			
Hibernate	HHH-12640	critical	T2.2.2	https://hibernate.atlassian.net/browse/HHH-12640	no	2018/5/27	https://github.com/hibernate/hibernate-orm/pull/2370/files			
Hibernate	HHH-12594	critical	T2.2.2	https://hibernate.atlassian.net/browse/HHH-12594	no	2018/5/17	https://github.com/hibernate/hibernate-orm/pull/2364/files			
Hibernate	HHH-12531	critical	T2.2.2	https://hibernate.atlassian.net/browse/HHH-12531	no	2018/4/21	https://github.com/hibernate/hibernate-orm/pull/2388/files			
Hibernate	HHH-12332	critical	T2.2.1	https://hibernate.atlassian.net/browse/HHH-12332	yes	2018/3/1	https://github.com/hibernate/hibernate-orm/pull/2180/files			
Hibernate	HHH-12247	critical	T2.2.2	https://hibernate.atlassian.net/browse/HHH-12247	no	2018/1/23	https://github.com/hibernate/hibernate-orm/pull/2376/files			
